sample_id,target_setting,seed,split,label,domain,text_source,text_length_chars,event_clean_mask,source_sparse_top2,event_semantic_rank,plm_deberta_rank,event_reliability_lr_bal_c0p03,peer_mermaid_moe,peer_mermaid_moe_seedlogitmean
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_108,target_politifact,20260425,val,1,coaid,title_only,76,1.0,0.7928968763371844,0.6512623020967052,0.7614462986735131,0.7220795892169448,0.7768506632434745,0.77599486521181
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_13,target_politifact,20260425,val,1,coaid,title_only,98,1.0,0.8675652545999144,0.9281129653401796,0.9336756525459992,0.9629867351305093,0.999999,0.9681215233204964
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_133,target_politifact,20260425,val,1,coaid,title_only,75,1.0,0.8750534873769791,0.8724860932819855,0.9445870774497218,0.9229781771501926,0.999999,0.9734702610183996
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_136,target_politifact,20260425,val,1,coaid,title_only,68,1.0,0.8551561831407788,0.9101412066752248,0.9424475823705606,0.9505776636713736,0.962558836114677,0.9426615318784768
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_153,target_politifact,20260425,val,1,coaid,title_only,66,1.0,0.6983311938382541,0.4681215233204963,0.9341035515618314,0.811724433033804,0.9632006846384252,0.954428754813864
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_160,target_politifact,20260425,val,1,coaid,article_text,541,1.0,0.8361146769362431,0.8898160034231921,0.9475823705605476,0.8630723149336756,0.7836970474967908,0.8468121523320497
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_165,target_politifact,20260425,val,1,coaid,title_only,117,1.0,0.6593923833975182,0.9052203679931536,0.9407359863072317,0.946298673513051,0.9679075738125802,0.9597774925117672
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_174,target_politifact,20260425,val,1,coaid,article_text,546,1.0,0.7242190842961062,0.9077877620881472,0.925545571245186,0.8748395378690629,0.9368848951647412,0.9358151476251604
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_179,target_politifact,20260425,val,1,coaid,title_only,99,1.0,0.9922978177150192,0.9893025246041934,0.9488660676080444,0.9970047068891742,0.999999,0.9753958065896448
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_184,target_politifact,20260425,val,1,coaid,title_only,76,1.0,0.259734702610184,0.5267436884895165,0.8286264441591784,0.6106118955926402,0.8249893025246042,0.8093709884467266
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_194,target_politifact,20260425,val,1,coaid,title_only,108,1.0,0.860504920838682,0.8915275994865212,0.9443731279418056,0.8949507916131793,0.9469405220367992,0.9388104407359864
coaid_05-01-2020_05-01-2020_NewsFakeCOVID-19.csv_21,target_politifact,20260425,val,1,coaid,title_only,60,1.0,0.7233632862644416,0.905648267008986,0.9460847240051348,0.9959349593495936,0.9364569961489088,0.9244758237056054
